"Response number","Vote for the student council party"
387,"- No vote (ไม่ประสงค์ลงคะเเนน)"
388,"- Endorse (รับรอง)"
389,"- Endorse (รับรอง)"
390,"- Endorse (รับรอง)"
391,"- Endorse (รับรอง)"
392,"- Endorse (รับรอง)"
393,"- Endorse (รับรอง)"
394,"- Endorse (รับรอง)"
395,"- Endorse (รับรอง)"
396,"- Endorse (รับรอง)"
397,"- Endorse (รับรอง)"
398,"- Endorse (รับรอง)"
399,"- No vote (ไม่ประสงค์ลงคะเเนน)"
400,"- No vote (ไม่ประสงค์ลงคะเเนน)"
401,"- Endorse (รับรอง)"
402,"- No vote (ไม่ประสงค์ลงคะเเนน)"
403,"- Endorse (รับรอง)"
404,"- Endorse (รับรอง)"
405,"- No vote (ไม่ประสงค์ลงคะเเนน)"
406,"- Endorse (รับรอง)"
407,"- Endorse (รับรอง)"
408,"- Endorse (รับรอง)"
409,"- Endorse (รับรอง)"
410,"- Endorse (รับรอง)"
411,"- Endorse (รับรอง)"
412,"- No vote (ไม่ประสงค์ลงคะเเนน)"
413,"- No vote (ไม่ประสงค์ลงคะเเนน)"
414,"- Endorse (รับรอง)"
415,"- Endorse (รับรอง)"
416,"- Endorse (รับรอง)"
417,"- Endorse (รับรอง)"
418,"- Endorse (รับรอง)"
419,"- Not endorse (ไม่รับรอง)"
420,"- Endorse (รับรอง)"
421,"- Endorse (รับรอง)"
422,"- Endorse (รับรอง)"
423,"- Endorse (รับรอง)"
424,"- Endorse (รับรอง)"
425,"- Endorse (รับรอง)"
426,"- Endorse (รับรอง)"
427,"- Endorse (รับรอง)"
428,"- Endorse (รับรอง)"
429,"- No vote (ไม่ประสงค์ลงคะเเนน)"
430,"- Endorse (รับรอง)"
431,"- Endorse (รับรอง)"
432,"- Endorse (รับรอง)"
433,"- No vote (ไม่ประสงค์ลงคะเเนน)"
434,"- Endorse (รับรอง)"
435,"- Endorse (รับรอง)"
436,"- Endorse (รับรอง)"
437,"- No vote (ไม่ประสงค์ลงคะเเนน)"
438,"- Endorse (รับรอง)"
439,"- Endorse (รับรอง)"
440,"- No vote (ไม่ประสงค์ลงคะเเนน)"
441,"- No vote (ไม่ประสงค์ลงคะเเนน)"
442,"- Endorse (รับรอง)"
443,"- No vote (ไม่ประสงค์ลงคะเเนน)"
444,"- Endorse (รับรอง)"
445,"- Endorse (รับรอง)"
446,"- Endorse (รับรอง)"
447,"- Endorse (รับรอง)"
448,"- Not endorse (ไม่รับรอง)"
449,"- Endorse (รับรอง)"
450,"- No vote (ไม่ประสงค์ลงคะเเนน)"
451,"- No vote (ไม่ประสงค์ลงคะเเนน)"
452,"- Endorse (รับรอง)"
453,"- Endorse (รับรอง)"
454,"- Endorse (รับรอง)"
455,"- Endorse (รับรอง)"
456,"- No vote (ไม่ประสงค์ลงคะเเนน)"
457,"- Endorse (รับรอง)"
458,"- Endorse (รับรอง)"
459,"- Endorse (รับรอง)"
460,"- No vote (ไม่ประสงค์ลงคะเเนน)"
461,"- Endorse (รับรอง)"
462,"- No vote (ไม่ประสงค์ลงคะเเนน)"
463,"- Endorse (รับรอง)"
464,"- Endorse (รับรอง)"
465,"- Endorse (รับรอง)"
466,"- Endorse (รับรอง)"
467,"- Endorse (รับรอง)"
468,"- Endorse (รับรอง)"
469,"- Endorse (รับรอง)"
470,"- Not endorse (ไม่รับรอง)"
471,"- Endorse (รับรอง)"
472,"- Endorse (รับรอง)"
473,"- Endorse (รับรอง)"
474,"- Endorse (รับรอง)"
475,"- Endorse (รับรอง)"
476,"- Endorse (รับรอง)"
477,"- Endorse (รับรอง)"
478,"- No vote (ไม่ประสงค์ลงคะเเนน)"
479,"- Endorse (รับรอง)"
480,"- Endorse (รับรอง)"
481,"- Endorse (รับรอง)"
482,"- Endorse (รับรอง)"
483,"- Endorse (รับรอง)"
484,"- No vote (ไม่ประสงค์ลงคะเเนน)"
485,"- Endorse (รับรอง)"
486,"- Endorse (รับรอง)"
487,"- Endorse (รับรอง)"
488,"- Endorse (รับรอง)"
489,"- Endorse (รับรอง)"
490,"- Endorse (รับรอง)"
491,"- No vote (ไม่ประสงค์ลงคะเเนน)"
492,"- Endorse (รับรอง)"
493,"- Endorse (รับรอง)"
494,"- Endorse (รับรอง)"
495,"- Endorse (รับรอง)"
496,"- Endorse (รับรอง)"
497,"- Endorse (รับรอง)"
498,"- Endorse (รับรอง)"
499,"- Endorse (รับรอง)"
500,"- No vote (ไม่ประสงค์ลงคะเเนน)"
501,"- Endorse (รับรอง)"
502,"- Endorse (รับรอง)"
503,"- No vote (ไม่ประสงค์ลงคะเเนน)"
504,"- Endorse (รับรอง)"
505,"- Endorse (รับรอง)"
506,"- Endorse (รับรอง)"
507,"- Endorse (รับรอง)"
508,"- Endorse (รับรอง)"
509,"- Endorse (รับรอง)"
510,"- Endorse (รับรอง)"
511,"- Not endorse (ไม่รับรอง)"
512,"- Endorse (รับรอง)"
513,"- Endorse (รับรอง)"
514,"- Endorse (รับรอง)"
515,"- Endorse (รับรอง)"
516,"- Endorse (รับรอง)"
517,"- Endorse (รับรอง)"
518,"- No vote (ไม่ประสงค์ลงคะเเนน)"
519,"- No vote (ไม่ประสงค์ลงคะเเนน)"
520,"- Endorse (รับรอง)"
521,"- Endorse (รับรอง)"
522,"- Endorse (รับรอง)"
523,"- No vote (ไม่ประสงค์ลงคะเเนน)"
524,"- Endorse (รับรอง)"
525,"- Endorse (รับรอง)"
526,"- Endorse (รับรอง)"
527,"- Endorse (รับรอง)"
528,"- No vote (ไม่ประสงค์ลงคะเเนน)"
529,"- Endorse (รับรอง)"
530,"- No vote (ไม่ประสงค์ลงคะเเนน)"
531,"- Endorse (รับรอง)"
532,"- Endorse (รับรอง)"
533,"- No vote (ไม่ประสงค์ลงคะเเนน)"
534,"- Endorse (รับรอง)"
535,"- Not endorse (ไม่รับรอง)"
536,"- Endorse (รับรอง)"
537,"- Endorse (รับรอง)"
538,"- Endorse (รับรอง)"
539,"- Endorse (รับรอง)"
540,"- No vote (ไม่ประสงค์ลงคะเเนน)"
541,"- Not endorse (ไม่รับรอง)"
542,"- Endorse (รับรอง)"
543,"- No vote (ไม่ประสงค์ลงคะเเนน)"
544,"- Endorse (รับรอง)"
545,"- Endorse (รับรอง)"
546,"- Endorse (รับรอง)"
547,"- No vote (ไม่ประสงค์ลงคะเเนน)"
548,"- Not endorse (ไม่รับรอง)"
549,"- Endorse (รับรอง)"
550,"- Endorse (รับรอง)"
551,"- Endorse (รับรอง)"
552,"- Endorse (รับรอง)"
553,"- Endorse (รับรอง)"
554,"- Endorse (รับรอง)"
555,"- Endorse (รับรอง)"
556,"- No vote (ไม่ประสงค์ลงคะเเนน)"
557,"- Not endorse (ไม่รับรอง)"
558,"- No vote (ไม่ประสงค์ลงคะเเนน)"
559,"- Endorse (รับรอง)"
560,"- Endorse (รับรอง)"
561,"- Endorse (รับรอง)"
562,"- No vote (ไม่ประสงค์ลงคะเเนน)"
563,"- No vote (ไม่ประสงค์ลงคะเเนน)"
564,"- Endorse (รับรอง)"
565,"- Endorse (รับรอง)"
566,"- Endorse (รับรอง)"
567,"- Endorse (รับรอง)"
568,"- Not endorse (ไม่รับรอง)"
569,"- Endorse (รับรอง)"
570,"- Endorse (รับรอง)"
571,"- Endorse (รับรอง)"
572,"- Endorse (รับรอง)"
573,"- Endorse (รับรอง)"
574,"- No vote (ไม่ประสงค์ลงคะเเนน)"
575,"- Endorse (รับรอง)"
576,"- No vote (ไม่ประสงค์ลงคะเเนน)"
577,"- Endorse (รับรอง)"
578,"- No vote (ไม่ประสงค์ลงคะเเนน)"
579,"- Endorse (รับรอง)"
580,"- Endorse (รับรอง)"
581,"- No vote (ไม่ประสงค์ลงคะเเนน)"
582,"- Not endorse (ไม่รับรอง)"
583,"- No vote (ไม่ประสงค์ลงคะเเนน)"
584,"- No vote (ไม่ประสงค์ลงคะเเนน)"
585,"- Endorse (รับรอง)"
586,"- Endorse (รับรอง)"
587,"- Endorse (รับรอง)"
588,"- Endorse (รับรอง)"
589,"- Endorse (รับรอง)"
590,"- Endorse (รับรอง)"
591,"- Endorse (รับรอง)"
592,"- Endorse (รับรอง)"
593,"- Endorse (รับรอง)"
594,"- Endorse (รับรอง)"
595,"- Endorse (รับรอง)"
596,"- Endorse (รับรอง)"
597,"- Endorse (รับรอง)"
598,"- Endorse (รับรอง)"
599,"- Endorse (รับรอง)"
600,"- Endorse (รับรอง)"
601,"- Endorse (รับรอง)"
602,"- Not endorse (ไม่รับรอง)"
603,"- Endorse (รับรอง)"
604,"- No vote (ไม่ประสงค์ลงคะเเนน)"
605,"- Endorse (รับรอง)"
606,"- Endorse (รับรอง)"
607,"- Endorse (รับรอง)"
608,"- Endorse (รับรอง)"
609,"- Endorse (รับรอง)"
610,"- Endorse (รับรอง)"
611,"- Endorse (รับรอง)"
612,"- No vote (ไม่ประสงค์ลงคะเเนน)"
613,"- Endorse (รับรอง)"
614,"- Endorse (รับรอง)"
615,"- No vote (ไม่ประสงค์ลงคะเเนน)"
616,"- Endorse (รับรอง)"
617,"- Endorse (รับรอง)"
618,"- No vote (ไม่ประสงค์ลงคะเเนน)"
619,"- Endorse (รับรอง)"
620,"- Endorse (รับรอง)"
621,"- Endorse (รับรอง)"
622,"- Endorse (รับรอง)"
623,"- No vote (ไม่ประสงค์ลงคะเเนน)"
624,"- No vote (ไม่ประสงค์ลงคะเเนน)"
625,"- Endorse (รับรอง)"
